Disease,N.F.I.D. Report Week,N.F.I.D. Previous Week,N.F.I.D. Median 2015–19,P.F.I. Report Week,P.F.I. Previous Week,P.F.I. Median 2015–19
Measles,6,5,1,6,5,1
Mumps,,,,6,85,10
Pertussis,10,49,10,13,20,8
Rubella,,,,1,,0
Congenital Rubella,,,,1,,0
H. influenzae B,3,4,1,1,5,1
Meningococcal,1,3,2,1,1,1
Invasive Pneumococcal,4,4,4,11,4,7
Polio,,,,,,,
Tetanus,1,0,1,1,1,1
Hepatitis A,3,4,4,2,1,1
Hepatitis B,9,20,9,2,3,1
Hepatitis C,5,19,6,1,2,2
Other Hepatitis,,,,,,,
Influenza,1,27,,14,16,


# from chat when prompted on the disease names: "based on the column structure and common content of Canadian weekly notifiable disease reports, which often use a fixed order for diseases in surveillance summaries (e.g., from the Public Health Agency of Canada or the Canada Communicable Disease Report)."
